name,age,role,batting,bowling,image,odiRuns,country_id
Kane Williamson,29,Top-order batsman,Right-hand bat,Right-arm offbreak,williamson.jpg,6132,1
Trent Boult,29,Bowler,Right-hand bat,Left-arm fast-medium,boult.jpg,154,1
Tom Blundell,28,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak,blundell.jpg,0,1
Colin de Grandhomme,32,Allrounder,Right-hand bat,Right-arm fast-medium,grandhomme.jpg,633,1
Lockie Ferguson,27,Bowler,Right-hand bat,Right-arm fast,ferguson.jpg,62,1
Martin Guptill,32,Opening batsman,Right-hand bat,Right-arm offbreak,guptil.jpg,6626,1
Matt Henry,27,Bowler,Right-hand bat,Right-arm fast-medium,henry.jpg,211,1
Tom Latham,27,Wicketkeeper batsman,Left-hand bat,Right-arm medium,latham.jpg,2550,1
Colin Munro,32,Middle-order batsman,Left-hand bat,Right-arm medium-fast,munro.jpg,1271,1
James Neesham,28,Batting allrounder,Left-hand bat,Right-arm medium,neesham.jpg,1247,1
Henry Nicholls,27,Top-order batsman,Left-hand bat,Right-arm offbreak,nicholls.jpg,1120,1
Mitchell Santner,27,Bowling allrounder,Left-hand bat,Slow left-arm orthodox,santer.jpg,898,1
Ish Sodhi,26,Bowler,Right-hand bat,Legbreak,sodhi.jpg,67,1
Tim Southee,30,Bowler,Right-hand bat,Right-arm medium-fast,southee.jpg,676,1
Ross Taylor,35,Middle-order batsman,Right-hand bat,Right-arm offbreak,taylor.jpg,8376,1